Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,1.817256,1.691639,0.319540,0.389600,0.100000,16.9
2,1.430364,1.290586,0.474520,0.546700,0.100000,16.3
3,1.129548,1.091689,0.594980,0.625000,0.100000,14.3
4,0.928710,0.971392,0.671720,0.673500,0.100000,16.1
5,0.783257,0.772326,0.725700,0.743600,0.100000,16.1
6,0.671053,0.752025,0.766660,0.748700,0.100000,16.0
7,0.607042,0.672793,0.790280,0.774600,0.100000,16.0
8,0.559558,0.594097,0.806840,0.794900,0.100000,16.1
9,0.512468,0.555301,0.822660,0.810100,0.100000,16.0
10,0.482079,0.559920,0.832560,0.813200,0.100000,16.3
11,0.461202,0.526610,0.840620,0.822900,0.100000,15.8
12,0.431105,0.560379,0.850540,0.822400,0.100000,15.7
13,0.412469,0.576105,0.858040,0.804100,0.100000,16.2
14,0.398777,0.494720,0.862560,0.838500,0.100000,16.3
15,0.381631,0.524959,0.867360,0.826600,0.100000,16.2
16,0.367827,0.472363,0.871760,0.845100,0.100000,16.0
17,0.354965,0.610316,0.878600,0.812800,0.100000,16.2
18,0.348433,0.549340,0.879560,0.823900,0.100000,16.0
19,0.340194,0.450624,0.881920,0.851500,0.100000,16.0
20,0.330208,0.498759,0.885760,0.840500,0.100000,16.0
21,0.320018,0.463653,0.887540,0.854700,0.100000,16.2
22,0.308147,0.484387,0.893040,0.851000,0.100000,15.9
23,0.303142,0.551629,0.894680,0.830000,0.100000,15.1
24,0.294346,0.392664,0.897020,0.871800,0.100000,16.1
25,0.286886,0.404415,0.899420,0.867000,0.100000,15.7
26,0.285914,0.541407,0.900540,0.826700,0.100000,15.6
27,0.279689,0.506320,0.902220,0.844000,0.100000,16.0
28,0.276006,0.562578,0.903140,0.830900,0.100000,16.0
29,0.266312,0.574081,0.908540,0.828900,0.100000,16.0
30,0.266904,0.531992,0.906200,0.841900,0.100000,16.0
31,0.259007,0.444349,0.908480,0.866800,0.100000,16.0
32,0.263880,0.376176,0.907720,0.875100,0.100000,16.0
33,0.251096,0.370526,0.911180,0.878100,0.100000,16.1
34,0.247916,0.419639,0.912200,0.864400,0.100000,15.6
35,0.249387,0.477555,0.911360,0.849700,0.100000,16.1
36,0.239765,0.539592,0.915620,0.845600,0.100000,16.0
37,0.238653,0.427649,0.915500,0.864200,0.100000,16.1
38,0.237975,0.380373,0.916340,0.877300,0.100000,16.0
39,0.237555,0.448980,0.916500,0.861600,0.100000,15.9
40,0.229966,0.430169,0.919220,0.871900,0.100000,16.1
41,0.230587,0.384348,0.919480,0.882400,0.100000,15.9
42,0.221825,0.437522,0.924100,0.862600,0.100000,16.1
43,0.226382,0.437878,0.920580,0.865500,0.100000,16.0
44,0.223496,0.456654,0.922260,0.862700,0.100000,16.1
45,0.220002,0.425004,0.922740,0.869100,0.100000,16.1
46,0.216072,0.412585,0.923820,0.868900,0.100000,16.3
47,0.219261,0.387289,0.922860,0.880500,0.100000,16.1
48,0.222675,0.425954,0.921760,0.866600,0.100000,16.6
49,0.205665,0.430823,0.928000,0.863600,0.100000,16.5
50,0.210909,0.383216,0.925740,0.882500,0.100000,16.3
51,0.205552,0.393239,0.928020,0.883100,0.100000,16.4
52,0.205768,0.443758,0.927640,0.865500,0.100000,15.8
53,0.202102,0.417790,0.929140,0.865600,0.100000,16.5
54,0.202479,0.391191,0.929300,0.885700,0.100000,16.1
55,0.201725,0.444686,0.929240,0.858000,0.100000,16.5
56,0.201504,0.463460,0.928380,0.866400,0.100000,16.3
57,0.199290,0.456875,0.929380,0.869600,0.100000,16.4
58,0.196389,0.442524,0.930860,0.872300,0.100000,16.5
59,0.196139,0.443644,0.930840,0.868500,0.100000,16.4
60,0.200593,0.405273,0.929500,0.877000,0.100000,16.4
61,0.191631,0.391207,0.932840,0.884700,0.100000,16.3
62,0.193928,0.475302,0.932260,0.860400,0.100000,16.2
63,0.190242,0.392109,0.932680,0.880500,0.100000,16.4
64,0.192206,0.384201,0.931540,0.884200,0.100000,16.5
65,0.183830,0.501120,0.935460,0.851800,0.100000,16.3
66,0.186297,0.354753,0.934940,0.889500,0.100000,16.2
67,0.183735,0.473911,0.935420,0.866200,0.100000,16.4
68,0.184731,0.425598,0.935900,0.877500,0.100000,16.2
69,0.183609,0.434610,0.936120,0.873700,0.100000,16.5
70,0.190370,0.415312,0.934240,0.874400,0.100000,16.1
71,0.180136,0.423773,0.935980,0.872500,0.100000,16.3
72,0.180817,0.528468,0.937160,0.848400,0.100000,16.3
73,0.184052,0.396705,0.935400,0.881500,0.100000,16.3
74,0.184934,0.438364,0.935740,0.867000,0.100000,16.3
75,0.184757,0.378226,0.935360,0.879400,0.100000,16.3
76,0.182133,0.450169,0.937200,0.869800,0.100000,16.3
77,0.177905,0.423922,0.936860,0.878400,0.100000,16.2
78,0.181475,0.347055,0.936520,0.891000,0.100000,16.3
79,0.178158,0.434036,0.938240,0.873600,0.100000,16.2
80,0.176590,0.397794,0.937960,0.879300,0.100000,16.2
81,0.179767,0.454569,0.936780,0.869600,0.100000,16.3
82,0.171906,0.460124,0.940720,0.865400,0.010000,16.3
83,0.097165,0.264081,0.968320,0.918900,0.010000,16.1
84,0.066758,0.261595,0.978840,0.919400,0.010000,16.3
85,0.055064,0.258589,0.982740,0.921100,0.010000,16.4
86,0.050047,0.261082,0.984280,0.922700,0.010000,16.2
87,0.043369,0.269104,0.986920,0.922800,0.010000,16.4
88,0.042266,0.270246,0.986380,0.922900,0.010000,16.4
89,0.036893,0.269776,0.988480,0.923600,0.010000,16.4
90,0.034753,0.276026,0.989600,0.924500,0.010000,16.4
91,0.033281,0.276512,0.989540,0.925200,0.010000,16.2
92,0.029964,0.275203,0.990800,0.924500,0.010000,16.2
93,0.029279,0.276870,0.991240,0.925700,0.010000,16.3
94,0.026260,0.278358,0.992340,0.925700,0.010000,16.1
95,0.026155,0.282293,0.992060,0.926400,0.010000,16.0
96,0.024426,0.285890,0.992740,0.926000,0.010000,16.1
97,0.023274,0.290104,0.993100,0.924900,0.010000,16.1
98,0.021338,0.291124,0.993880,0.925200,0.010000,15.7
99,0.020743,0.298850,0.994400,0.924600,0.010000,16.3
100,0.020780,0.296077,0.993940,0.924800,0.010000,16.1
101,0.019275,0.290814,0.994420,0.925600,0.010000,16.3
102,0.018308,0.298354,0.994860,0.924700,0.010000,16.2
103,0.017146,0.302741,0.995220,0.927100,0.010000,16.0
104,0.018445,0.308053,0.994540,0.924600,0.010000,16.1
105,0.016464,0.301413,0.995300,0.926500,0.010000,16.1
106,0.015524,0.309700,0.995660,0.922900,0.010000,16.1
107,0.015545,0.306484,0.995700,0.924800,0.010000,16.1
108,0.014268,0.310850,0.996180,0.925200,0.010000,16.0
109,0.014267,0.308548,0.996300,0.925800,0.010000,16.0
110,0.012390,0.308045,0.997060,0.925800,0.010000,16.1
111,0.013230,0.307095,0.996420,0.926300,0.010000,16.1
112,0.011812,0.318455,0.997100,0.924400,0.010000,16.0
113,0.011776,0.320170,0.997280,0.925900,0.010000,16.2
